Id,Start,End,Values
3ff281,1,5,9.45749383223684;49.579193115234375 9.42352294921875;49.55406576900159 9.387075063344595;49.52692581435381 9.353629664370887;49.50215148925781 9.317996376439144;49.475372314453125 
4ca80f,1,5,10.153988924893465;42.1102294921875 10.183202570134943;42.186126708984375 10.227210304953836;42.29969787597656 10.310030205305234;42.51220185877913 10.332960971566134;42.56997318591102 
3c6624,1,1,11.97885613692434;49.582672119140625 
88003a,3,3,0.0046539306640625;51.39436883441472 
4ca62b,1,6,-2.1981564083614558;51.51722717285156 -2.0497667467271867;51.48957824707031 -1.89605712890625;51.4607523255429 -1.7459869384765625;51.43193649033368 -1.5949249267578125;51.40288789393538 -1.44927978515625;51.36387711864406 
400941,1,3,-0.8456503378378102;51.49017333984375 -0.7717132568359375;51.47732492220604 -0.6984483873521867;51.4764404296875 
4ba8f3,1,1,8.819944800400153;45.68641662597656 
4492e8,1,5,8.39080810546875;48.389556884765625 8.405769749691611;48.27676546775688 8.42037000154194;48.1627590373411 8.434964693509615;48.05205781581038 8.44940185546875;47.94256695246292 
342397,4,5,11.719469342912946;43.07017698126324 11.691087995256696;43.16332800913665 
400a25,1,6,0.5588180954391891;51.67121887207031 0.426483154296875;51.66330111228813 0.300140380859375;51.65557344081038 0.19307729360219594;51.649017333984375 0.0966644287109375;51.609579829846396 0.1667991844383446;51.570831298828125 
4ca8db,1,6,4.1056060791015625;50.84817142809852 4.241464975717905;50.805816650390625 4.38213451488598;50.75559997558594 4.52495678051098;50.70918273925781 4.6759445602829395;50.674713134765625 4.819286449535473;50.64110707428495 
40615b,1,6,-1.0247105189731656;51.898343361030186 -0.9446015229096361;51.84832763671875 -0.843353271484375;51.81678384037341 -0.742034912109375;51.785593841035485 -0.64300537109375;51.75510212526483 -0.5447140255489558;51.72404479980469 
400954,1,5,-3.3745574951171875;51.093594825873936 -3.3550262451171875;51.208765062235166 -3.34259033203125;51.33073425292969 -3.329315185546875;51.45968162407309 -3.3148193359375;51.59026065115201 
4caa61,1,6,7.221656799316406;45.90143753310381 7.103665979897104;45.99732971191406 6.983940124511719;46.094536215572035 6.864189147949219;46.191225213519594 6.744466642054117;46.28746032714844 6.623451232910156;46.38437044822563 
3c4acf,1,5,8.661346435546875;50.06163024902344 8.72856346336571;50.09747004104873 8.77659153293919;50.170696711136124 8.82335765941723;50.239454366393005 8.852161608244243;50.32072448730469 
3945f9,1,6,8.316458768622821;42.82640075683594 8.244192940848214;42.87377308990995 8.160733954851018;42.919281005859375 8.078547886439733;42.9649223715572 7.994057791573661;43.010962534759 7.911689226017442;43.056427001953125 
3c6585,1,2,2.897186279296875;44.83978271484375 2.744227818080357;44.757568359375 
406091,1,6,4.491365872896634;47.90313720703125 4.37860107421875;47.977020263671875 4.2353668212890625;48.07044982910156 4.1011962890625;48.15705871582031 3.9716298956620064;48.24054782673464 3.8345899079975325;48.32843845173464 
4ca226,2,5,-3.018035888671875;52.883148193359375 -2.9955793108258932;52.81411898338188 -2.977294921875;52.757651118908896 -2.9400634765625;52.65074157714844 
4baac1,1,5,5.11932373046875;52.52215576171875 5.2874755859375;52.49757385253906 5.489946637834822;52.4673048116393 5.684953962053572;52.43783724510063 5.880353655133929;52.40832312632415 
4b7fab,1,6,7.0199115459735575;47.05528129965572 6.898246765136719;47.015625 6.786048889160156;47.02702331542969 6.822087214543268;47.083817821438025 6.913851224459134;47.126785536943856 6.940542367788461;47.09042823920815 
344298,1,4,7.411089810458097;40.494348558328916 7.521240234375;40.52641296386719 7.682689319957386;40.57320804919227 7.89776611328125;40.6351318359375 
01010b,1,5,10.39257342998798;49.3604736328125 10.283853631270558;49.41352456302966 10.16061883223684;49.473724365234375 10.046700142525339;49.5287413516287 9.932146574321544;49.584228515625 
4ca7b5,5,6,3.6649796769425675;50.32562255859375 3.634233976665296;50.280487060546875 
3c49e2,3,5,-4.4538215968919985;39.752105712890625 -4.451612389605998;39.75608825683594 -4.382231339164402;39.886138916015625 
406132,3,6,5.142673399390245;45.85235595703125 5.2014234589367385;45.81147766113281 5.2895050048828125;45.748187566207626 5.386322021484375;45.6790574930482 
89613e,1,5,10.476226806640625;50.936667232190146 10.246124267578125;51.00961458885063 10.16383815456081;51.035247802734375 9.99889476879223;51.086334228515625 9.828567504882812;51.13865739208156 
424118,2,3,10.900291442871094;46.22232210838188 10.849411010742188;46.20011669094279 
c0584d,5,6,-0.4584503173828125;51.40279478945974 -0.4937744140625;51.40474998344809 
3985ab,1,2,4.365524664157775;45.09682865466102 4.460187639508929;45.00370788574219 
40655d,4,5,-0.4813199429898418;51.41075134277344 -0.5716602222339588;51.41743469238281 
71007c,4,6,7.901045636432928;45.27586856130826 7.747237042682928;45.367017842955505 7.737523520865092;45.372743768207094 
44a98f,1,6,7.88799197174782;42.81843566894531 7.817230224609375;42.92921680515095 7.747405296148257;43.0396728515625 7.676249659338663;43.1510009765625 7.605612618582589;43.262903245828916 7.546626499720982;43.37756140757415 
406b40,1,6,-0.9453582763671875;51.64128190380031 -0.9197338207347912;51.76972961425781 -0.89263916015625;51.90266418457031 -0.8731842041015625;52.03889465332031 -0.925750732421875;52.16876220703125 -0.98388671875;52.291900634765625 
48436a,1,5,0.9618233345650338;51.630889892578125 0.779571533203125;51.579972606594275 0.584873508762669;51.52500915527344 0.39342931798986486;51.4705810546875 0.17730712890625;51.40852071471133 
4006c7,1,5,-0.3116999445734905;51.27781677246094 -0.4047868058488176;51.23973083496094 -0.40701376425253377;51.24156188964844 -0.44708251953125;51.323562880693856 -0.406494140625;51.334991455078125 
3c6426,1,6,8.532591123838683;49.92229397014036 8.537316573293586;49.8468017578125 8.539717390730575;49.772535421080505 8.52947338207348;49.690091407905186 8.517873663651315;49.600067138671875 8.503273411800986;49.495513916015625 
484411,1,5,-1.7016252790178328;53.47425842285156 -1.9081682477678328;53.488677978515625 -2.11871337890625;53.50286865234375 -2.3358064539292513;53.51715087890625 -2.5551060267856656;53.53125 
5082e6,5,5,8.83006026105183;45.69300842285156 
06a063,1,5,4.07373046875;45.76010493908898 3.95343017578125;45.76988090903072 3.7722930908203125;45.784358654992054 3.524869593178354;45.8038330078125 3.37939453125;45.815129684189614 
4841d5,1,6,4.797536489125845;50.86692810058594 4.900665283203125;50.77089471332097 5.0025651261613175;50.67393493652344 5.105317768297697;50.57643127441406 5.208675986842104;50.47906494140625 5.313407496402138;50.376800537109375 
344292,3,5,-3.739471435546875;42.34620666503906 -3.772142986918605;42.257747326867054 -3.8096370253451823;42.156263448424255 
